scenario,avg_breakage_rate,std_breakage_rate,avg_energy_kwh,std_energy_kwh,avg_total_cost,std_total_cost,avg_queue,max_queue,avg_running_time,temperature,speed,frequency,farm_breakage_cost,farm_energy_cost,farm_total_cost
B0_25C_Fixed,0.055128817859093585,0.0018166385359828434,1.4042,2.340555645717801e-16,855.1049999999999,43.77975178854566,44.34180555555555,231.0,2.95,25,medium,3,354257.7835625354,18956.699999999997,373214.48356253543
B0_35C_Fixed,0.07008013597445183,0.003269230025488929,1.4042,2.340555645717801e-16,847.6049999999999,74.76816018719316,34.28590277777778,176.0,2.95,35,medium,3,450334.95377182745,18956.699999999997,469291.65377182746
T1_25C_low,0.04863231795652568,0.0029831441051505815,1.1564,0.0,748.91,48.3045891539648,44.733888888888885,226.6,2.95,25,low,3,312511.27518863406,15611.4,328122.6751886341
T1_25C_medium,0.056793739916856004,0.0030868801746745545,1.4042,2.340555645717801e-16,882.6049999999999,78.57233044215445,43.88805555555555,242.3,2.95,25,medium,3,364956.57270571665,18956.699999999997,383913.27270571666
T1_25C_high,0.0689662858689821,0.0034620167335389766,1.6520000000000004,0.0,1046.2999999999997,91.89365834726814,42.95777777777778,232.3,2.95,25,high,3,443177.35299407894,22302.000000000007,465479.35299407894
T2_32C_low,0.04380313835542107,0.002910558565340579,1.541866666666667,2.340555645717801e-16,598.5466666666667,50.277010429994505,30.67631944444444,130.5,3.933333333333333,32,low,4,281478.9670719358,20815.200000000004,302294.16707193584
T2_32C_medium,0.0527400316007542,0.00399191252065547,1.872266666666667,2.340555645717801e-16,746.8066666666666,63.464775882199234,30.317708333333332,139.4,3.933333333333333,32,medium,4,338907.44306644646,25275.600000000006,364183.04306644644
T2_32C_high,0.06329360526350973,0.003579879169780988,2.2026666666666666,0.0,865.0666666666666,72.83924461137386,30.884097222222227,138.7,3.933333333333333,32,high,4,406724.7074233135,29735.999999999996,436460.7074233135
T3_35C_low,0.03888746949642965,0.004989641088943739,1.9273333333333338,2.340555645717801e-16,498.1833333333334,80.79466429027218,27.60076388888889,119.8,4.916666666666667,35,low,5,249890.8789840569,26019.000000000007,275909.87898405694
T3_35C_medium,0.0453333520649223,0.0020482861647362965,2.3403333333333336,0.0,578.5083333333333,34.96029493900505,26.30013888888889,121.5,4.916666666666667,35,medium,5,291312.1203691907,31594.500000000004,322906.6203691907
T3_35C_high,0.05835793890419307,0.005182001435460985,2.753333333333334,0.0,758.8333333333333,70.90682462060882,27.82590277777778,128.9,4.916666666666667,35,high,5,375008.1153983447,37170.00000000001,412178.1153983447
D1_MorningPeak_Fixed,0.05573871674588624,0.002871555211190959,1.4042,2.340555645717801e-16,855.1049999999999,65.40472290116195,43.85666666666667,231.7,2.95,25,medium,3,358176.99380906497,18956.699999999997,377133.693809065
D1_MorningPeak_Dynamic,0.06319733790590872,0.002499292764865755,1.4042,2.340555645717801e-16,955.1049999999999,42.16370213557839,43.57541666666667,232.2,2.95,25,medium,3,406106.0933833694,18956.699999999997,425062.7933833694
D2_Midday_Fixed,0.055278375219872056,0.0017459429434978687,1.4042,2.340555645717801e-16,837.6049999999999,38.09709816887487,43.60763888888889,228.4,2.95,25,medium,3,355218.8391628978,18956.699999999997,374175.5391628978
D2_Midday_Dynamic,0.049241180879057975,0.002924694628231364,1.1564,0.0,756.41,65.03204338375558,44.50118055555556,231.0,2.95,25,low,3,316423.8283288265,15611.4,332035.22832882655
D3_FullDay_Fixed,0.056352285686076295,0.002773569917936884,1.4042,2.340555645717801e-16,837.6049999999999,70.16844811673629,42.45229166666667,232.2,2.95,25,medium,3,362119.78781872627,18956.699999999997,381076.4878187263
D3_FullDay_Dynamic,0.06333923804725423,0.003033528920753009,1.4042,2.340555645717801e-16,975.1049999999999,59.16079783099617,44.913402777777776,238.1,2.95,25,medium,3,407017.9436916557,18956.699999999997,425974.6436916557
S_25C_low,0.04807394958971739,0.002733280078809823,1.1564,0.0,738.91,45.94682917363407,43.992916666666666,226.6,2.95,25,low,3,308923.20006352395,15611.4,324534.600063524
S_25C_medium,0.05618558762580704,0.004313528739241766,1.4042,2.340555645717801e-16,872.6049999999999,84.36856971381911,44.148888888888884,237.7,2.95,25,medium,3,361048.58608343604,18956.699999999997,380005.28608343605
S_25C_high,0.06786676247852022,0.003719550723820858,1.6520000000000004,0.0,1046.2999999999997,67.49485577105528,45.48791666666666,228.3,2.95,25,high,3,436111.81568697095,22302.000000000007,458413.81568697095
S_32C_low,0.04371340601557931,0.0034032118035806224,1.541866666666667,2.340555645717801e-16,591.0466666666667,69.17168656482377,29.465486111111108,130.3,3.933333333333333,32,low,4,280902.34705611266,20815.200000000004,301717.5470561127
S_32C_medium,0.05073440272141235,0.003647651826153994,1.872266666666667,2.340555645717801e-16,686.8066666666666,89.13161304747291,30.419375000000002,132.6,3.933333333333333,32,medium,4,326019.27188779577,25275.600000000006,351294.87188779574
S_32C_high,0.06293872562018318,0.002619318507180074,2.2026666666666666,0.0,870.0666666666666,60.323203569512856,30.22423611111111,131.5,3.933333333333333,32,high,4,404444.25083529716,29735.999999999996,434180.25083529716
S_35C_low,0.03958981062631579,0.0018159109799714731,1.9273333333333338,2.340555645717801e-16,508.1833333333334,33.74742788552767,28.225416666666668,121.7,4.916666666666667,35,low,5,254404.12308470526,26019.000000000007,280423.12308470526
S_35C_medium,0.04574642162230783,0.004350712743379348,2.3403333333333336,0.0,593.5083333333333,66.87467549246294,26.33256944444444,125.6,4.916666666666667,35,medium,5,293966.5053449501,31594.500000000004,325561.0053449501
S_35C_high,0.05386678231554076,0.0039570761288910995,2.753333333333334,0.0,691.3333333333333,57.06964556087977,26.26298611111111,119.2,4.916666666666667,35,high,5,346147.9431596649,37170.00000000001,383317.9431596649
F3_25C,0.054976326607754075,0.0014564296878984428,1.4042,2.340555645717801e-16,842.6049999999999,47.21405158071765,43.77506944444444,231.1,2.95,25,medium,3,353277.8747814277,18956.699999999997,372234.5747814277
F3_35C,0.06876568359039419,0.0027223228801125216,1.4042,2.340555645717801e-16,812.6049999999999,59.45352993912323,33.18805555555556,170.9,2.95,35,medium,3,441888.2827518731,18956.699999999997,460844.9827518731
F4_25C,0.04457582387100914,0.004015550768085815,1.872266666666667,2.340555645717801e-16,711.8066666666666,84.32740427115678,35.570347222222225,160.6,3.933333333333333,25,medium,4,286444.24419510475,25275.600000000006,311719.8441951048
F4_35C,0.059467112521540355,0.0021697563470655097,1.872266666666667,2.340555645717801e-16,734.3066666666666,54.326686710022074,27.192569444444445,121.1,3.933333333333333,35,medium,4,382135.66506341833,25275.600000000006,407411.2650634183
F6_25C,0.0338751667135894,0.002625379343390192,2.8084,4.681111291435602e-16,557.71,54.326686710022074,21.488194444444446,156.5,5.9,25,medium,6,217681.82130152546,37913.399999999994,255595.22130152545
F6_35C,0.04763369550209507,0.003622146316838246,2.8084,4.681111291435602e-16,605.21,44.409708648247424,16.826597222222222,120.3,5.9,35,medium,6,306094.12729646295,37913.399999999994,344007.5272964629
